,limit_balance,sex,education_level,marital_status,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,default_payment_next_month
1601,10000,2,2,2,48,1,2,-1,0,0,0,3133,1473,9196,8518,8690,7472,0,9196,1106,278,258,268,0
425,290000,1,2,1,46,0,0,0,0,0,0,196566,168372,171699,133147,135147,127087,7800,7839,4706,5400,4604,4900,0
1813,30000,1,1,2,35,2,2,2,2,2,2,14489,15460,15514,14968,16026,15619,1500,600,0,1300,0,1300,0
2563,290000,1,1,1,37,-2,-2,-2,-2,-2,-2,-17,3465,10069,4225,-4,871,3482,10194,4276,0,875,3852,0
2659,300000,1,2,1,39,-1,-1,-2,-2,-2,-2,29997,592,1049,-25,-25,-25,598,1057,0,0,0,0,0
69,50000,1,1,2,32,0,0,0,0,0,0,18741,12724,13804,15331,15159,10188,1724,1804,2721,1159,1188,733,0
2449,20000,1,3,1,52,-1,-1,-1,-1,-1,-1,2912,390,780,780,780,390,390,780,780,780,390,780,0
2159,270000,2,3,1,30,-1,-1,-2,-2,-1,-1,3842,3934,0,0,3353,764,3934,0,0,3353,764,35532,0
2042,170000,1,2,2,29,0,0,0,0,-1,0,23070,186183,164405,93983,2806,1732,164000,7000,5215,3500,2000,300,0
1839,220000,2,1,1,32,1,2,2,2,2,2,202792,198157,211340,209612,219064,222672,0,16501,3200,13000,7500,0,0
2446,370000,2,3,2,31,-1,-1,-1,2,-1,-1,2804,1674,39811,35194,3728,2241,1674,42921,0,3728,2300,43183,0
545,50000,1,2,1,33,0,0,0,0,0,0,50431,45619,33610,19221,18925,19608,1823,1500,1000,1000,1000,1000,0
2850,300000,2,2,1,43,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,520,1
248,200000,2,1,2,26,0,0,0,0,0,0,18630,15996,16304,14973,20542,15810,1502,1200,300,7000,8000,4000,0
1737,30000,2,1,2,24,1,2,0,0,2,2,29846,28941,18643,19005,12751,10891,0,4000,600,0,2500,419,0
211,180000,2,1,2,38,0,-1,0,0,0,0,16056,179490,180360,177460,140738,141830,180040,8200,9607,5103,5237,5000,0
2268,360000,2,1,1,36,-1,-1,-1,-1,-1,-1,18641,7174,11044,15887,8607,8843,7174,11044,15895,8607,8843,3000,0
